INSTNM,OPEID6,CONTROL,MAIN,CIPDEF,CIPFIELD,CIPCODE,CREDLEV,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,"Private, nonprofit",1,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,01,0106,3,2.0,20.0,23.0,47377.0,2.0,11.0,14.0,41205.0,16.0,52474.0,,,,,,,,,,,,,,,,,,,4.0,19.0,51442.0,,,,3.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,01,0110,3,4.0,,,,,,,,,,,,,,,,24.0,30320.0,17.0,,23.0,27318.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,01,0112,3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,ARCHITECTURE AND RELATED SERVICES.,04,0403,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",05,0501,3,3.0,35.0,50.0,30421.0,6.0,48.0,62.0,30554.0,50.0,27504.0,,,27.0,35196.0,29.0,33711.0,64.0,42671.0,54.0,46.0,59.0,43514.0,,,37.0,56536.0,27.0,25600.0,5.0,56.0,33213.0,30.0,,,7.0,69.0,55711.0,,64.0,55936.0,,,47.0,59042.0,23.0,50954.0,,32.0
Brigham Young University,3670,"Private, nonprofit",1,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",09,0901,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",09,0904,3,5.0,37.0,51.0,32982.0,5.0,32.0,44.0,29685.0,39.0,34657.0,,,,,31.0,34485.0,48.0,34829.0,39.0,27.0,,,,,17.0,49897.0,,,6.0,42.0,34657.0,24.0,,,7.0,43.0,43349.0,23.0,36.0,42620.0,,,19.0,65599.0,24.0,21542.0,,23.0
Brigham Young University,3670,"Private, nonprofit",1,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",09,0909,3,4.0,59.0,74.0,41037.0,9.0,132.0,146.0,44276.0,94.0,43950.0,,,48.0,56975.0,59.0,40037.0,151.0,49266.0,136.0,122.0,142.0,49611.0,,,90.0,54913.0,61.0,35136.0,4.0,107.0,46269.0,78.0,,,10.0,139.0,58056.0,103.0,130.0,60301.0,,,84.0,65346.0,55.0,49972.0,,73.0
Brigham Young University,3670,"Private, nonprofit",1,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",09,0910,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",09,0999,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
